ACCESS,AU,PROJ,SID,START,STOP,ACTIVE,NWELLS,ACWELLS
5148, 8, 23, 7822, 1992, 0, 1, 1, 1
5149, 8, 23, 6984, 1994, 0, 1, 1, 1
5150, 8, 23, 6984, 1992, 0, 1, 1, 1
5151, 8, 23, 6150, 1993, 0, 1, 1, 1
5152, 8, 23, 6150, 1992, 0, 1, 1, 1
5153, 8, 23, 11141, 1993, 0, 1, 1, 1
5154, 8, 23, 11141, 2009, 0, 1, 1, 1
5155, 8, 23, 11141, 2009, 0, 1, 1, 1
5156, 8, 23, 11141, 1977, 0, 1, 1, 1
5157, 8, 23, 11141, 2005, 0, 1, 1, 1
5158, 8, 23, 10311, 1993, 0, 1, 1, 1
5159, 8, 23, 10311, 1992, 0, 1, 1, 1
5160, 8, 23, 11141, 1994, 0, 1, 1, 1
5161, 8, 23, 10311, 1978, 0, 1, 1, 1
5162, 8, 23, 10311, 1994, 0, 1, 1, 1
5163, 8, 23, 8649, 1989, 0, 1, 1, 1
5164, 8, 23, 8649, 2006, 0, 1, 1, 1
5165, 8, 23, 8649, 1993, 0, 1, 1, 1
5166, 8, 23, 8649, 1978, 0, 1, 1, 1
5167, 8, 23, 8649, 1993, 0, 1, 1, 1
5168, 8, 23, 8649, 2007, 0, 1, 1, 1
5169, 8, 23, 13656, 1992, 0, 1, 1, 1
5170, 8, 23, 19360, 1983, 0, 1, 1, 1
5171, 21, 23, 19360, 1983, 1983, 0, 1, 0
5172, 8, 23, 14478, 2005, 0, 1, 1, 1
5173, 21, 23, 19360, 1993, 0, 1, 2, 1
5174, 8, 23, 19360, 1997, 2012, 0, 1, 0
5175, 8, 23, 19360, 1993, 0, 1, 1, 1
5176, 8, 23, 17720, 1978, 2014, 0, 1, 0
5177, 8, 23, 17720, 1993, 0, 1, 1, 1
5178, 8, 23, 17720, 2000, 2011, 0, 1, 0
5179, 8, 23, 17720, 1992, 0, 1, 1, 1
5180, 8, 23, 17720, 1992, 0, 1, 1, 1
5181, 8, 23, 17720, 2006, 0, 1, 1, 1
5182, 8, 23, 20158, 1994, 0, 1, 1, 1
5183, 8, 23, 20158, 2001, 0, 1, 1, 1
5184, 8, 23, 24204, 1993, 0, 1, 1, 1
5185, 8, 23, 20158, 1993, 0, 1, 1, 1
5186, 8, 23, 20963, 1980, 0, 1, 1, 1
5187, 8, 23, 20963, 1993, 0, 1, 1, 1
5188, 21, 23, 21775, 2004, 0, 1, 1, 1
5189, 8, 23, 16910, 1993, 0, 1, 1, 1
5190, 8, 23, 21775, 1979, 2014, 0, 1, 0
5191, 8, 23, 21775, 1992, 0, 1, 1, 1
5192, 21, 23, 16910, 1992, 0, 1, 1, 1
5193, 8, 23, 16910, 2009, 2009, 0, 1, 0
5194, 8, 23, 16910, 2008, 0, 1, 1, 1
5195, 8, 23, 16910, 2008, 0, 1, 1, 1
5196, 8, 23, 16910, 1978, 0, 1, 1, 1
5197, 8, 23, 16910, 1993, 0, 1, 1, 1
5198, 8, 23, 16910, 2008, 0, 1, 1, 1
5199, 8, 23, 11141, 1992, 0, 1, 1, 1
5200, 21, 23, 10311, 2010, 2010, 0, 0, 0
5201, 21, 23, 17720, 0, 0, 0, 0, 0
5202, 12, 50, 2749, 1983, 2002, 0, 1, 0
5203, 12, 50, 7785, 1979, 0, 1, 1, 1
5204, 12, 50, 24211, 1981, 0, 1, 1, 1
5205, 12, 50, 20165, 1979, 0, 1, 2, 1
5206, 12, 50, 26679, 1983, 2013, 0, 1, 0
5207, 12, 50, 26679, 0, 0, 0, 0, 0
5208, 12, 50, 25848, 1984, 2005, 0, 1, 0
5209, 12, 50, 26679, 1980, 0, 1, 1, 1
5210, 12, 50, 26679, 0, 0, 0, 0, 0
5211, 12, 50, 27506, 0, 0, 0, 0, 0
5212, 12, 50, 27506, 1995, 0, 1, 1, 1
5213, 12, 50, 27506, 1980, 2000, 0, 1, 0
5214, 12, 50, 27506, 0, 0, 0, 0, 0
5215, 12, 50, 27506, 1977, 0, 1, 1, 1
5216, 12, 50, 27506, 1997, 0, 1, 1, 1
